date,epiweek,nta_id,county,neighborhood,cases_week,cases_4_week_avg,hospitalizations_month,deaths_month,retail_and_recreation_change_week,grocery_and_pharmacy_change_week,parks_change_week,transit_stations_change_week,workplaces_change_week,residential_change_week
2020/07/04,202027,25001,Barnstable County,Barnstable County,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25001,Barnstable County,Barnstable County,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25001,Barnstable County,Barnstable County,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25001,Barnstable County,Barnstable County,72.0,36.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25001,Barnstable County,Barnstable County,71.0,50.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25001,Barnstable County,Barnstable County,43.0,56.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25001,Barnstable County,Barnstable County,5.0,47.75,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25001,Barnstable County,Barnstable County,14.0,33.25,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25001,Barnstable County,Barnstable County,27.0,22.25,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25001,Barnstable County,Barnstable County,14.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25003,Berkshire County,Berkshire County,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25003,Berkshire County,Berkshire County,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25003,Berkshire County,Berkshire County,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25003,Berkshire County,Berkshire County,16.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25003,Berkshire County,Berkshire County,16.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25003,Berkshire County,Berkshire County,13.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25003,Berkshire County,Berkshire County,0.0,11.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25003,Berkshire County,Berkshire County,8.0,9.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25003,Berkshire County,Berkshire County,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25003,Berkshire County,Berkshire County,2.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25005,Bristol County,Bristol County,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25005,Bristol County,Bristol County,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25005,Bristol County,Bristol County,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25005,Bristol County,Bristol County,190.0,154.5,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25005,Bristol County,Bristol County,245.0,194.25,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25005,Bristol County,Bristol County,236.0,220.5,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25005,Bristol County,Bristol County,84.0,188.75,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25005,Bristol County,Bristol County,160.0,181.25,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25005,Bristol County,Bristol County,176.0,164.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25005,Bristol County,Bristol County,46.0,116.5,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25009,Essex County,Essex County,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25009,Essex County,Essex County,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25009,Essex County,Essex County,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25009,Essex County,Essex County,205.0,206.75,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25009,Essex County,Essex County,390.0,267.5,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25009,Essex County,Essex County,484.0,334.25,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25009,Essex County,Essex County,141.0,305.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25009,Essex County,Essex County,500.0,378.75,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25009,Essex County,Essex County,378.0,375.75,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25009,Essex County,Essex County,55.0,268.5,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25013,Hampden County,Hampden County,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25013,Hampden County,Hampden County,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25013,Hampden County,Hampden County,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25013,Hampden County,Hampden County,139.0,120.75,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25013,Hampden County,Hampden County,174.0,143.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25013,Hampden County,Hampden County,149.0,152.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25013,Hampden County,Hampden County,55.0,129.25,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25013,Hampden County,Hampden County,154.0,133.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25013,Hampden County,Hampden County,113.0,117.75,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25013,Hampden County,Hampden County,74.0,99.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25015,Hampshire County,Hampshire County,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25015,Hampshire County,Hampshire County,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25015,Hampshire County,Hampshire County,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25015,Hampshire County,Hampshire County,49.0,30.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25015,Hampshire County,Hampshire County,50.0,37.5,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25015,Hampshire County,Hampshire County,38.0,42.25,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25015,Hampshire County,Hampshire County,14.0,37.75,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25015,Hampshire County,Hampshire County,46.0,37.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25015,Hampshire County,Hampshire County,46.0,36.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25015,Hampshire County,Hampshire County,3.0,27.25,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25021,Norfolk County,Norfolk County,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25021,Norfolk County,Norfolk County,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25021,Norfolk County,Norfolk County,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25021,Norfolk County,Norfolk County,276.0,192.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25021,Norfolk County,Norfolk County,371.0,261.25,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25021,Norfolk County,Norfolk County,296.0,290.25,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25021,Norfolk County,Norfolk County,81.0,256.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25021,Norfolk County,Norfolk County,163.0,227.75,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25021,Norfolk County,Norfolk County,153.0,173.25,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25021,Norfolk County,Norfolk County,35.0,108.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25023,Plymouth County,Plymouth County,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25023,Plymouth County,Plymouth County,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25023,Plymouth County,Plymouth County,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25023,Plymouth County,Plymouth County,99.0,70.75,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25023,Plymouth County,Plymouth County,140.0,93.25,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25023,Plymouth County,Plymouth County,119.0,106.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25023,Plymouth County,Plymouth County,62.0,105.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25023,Plymouth County,Plymouth County,155.0,119.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25023,Plymouth County,Plymouth County,154.0,122.5,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25023,Plymouth County,Plymouth County,28.0,99.75,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25025,Suffolk County,Suffolk County,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25025,Suffolk County,Suffolk County,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25025,Suffolk County,Suffolk County,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25025,Suffolk County,Suffolk County,272.0,252.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25025,Suffolk County,Suffolk County,452.0,326.75,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25025,Suffolk County,Suffolk County,499.0,376.5,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25025,Suffolk County,Suffolk County,239.0,365.5,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25025,Suffolk County,Suffolk County,689.0,469.75,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25025,Suffolk County,Suffolk County,644.0,517.75,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25025,Suffolk County,Suffolk County,122.0,423.5,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/04,202027,25027,Worcester County,Worcester County,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/11,202028,25027,Worcester County,Worcester County,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/18,202029,25027,Worcester County,Worcester County,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/07/25,202030,25027,Worcester County,Worcester County,257.0,177.25,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/01,202031,25027,Worcester County,Worcester County,317.0,223.75,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/08,202032,25027,Worcester County,Worcester County,226.0,243.25,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/15,202033,25027,Worcester County,Worcester County,84.0,221.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/22,202034,25027,Worcester County,Worcester County,269.0,224.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/29,202035,25027,Worcester County,Worcester County,171.0,187.5,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/31,202036,25027,Worcester County,Worcester County,33.0,139.25,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
